- - [17/Aug/2020:18:14:13] "GET /cart.do?action=view&itemId=EST-11&productId=FS-SG-G03&JSESSIONID=SD8SL7FF2ADFF11710 HTTP 1.1" 200 1659 "http://www.buttercupgames.com" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS)" 329
- - [17/Aug/2020:18:14:14] "GET /product.screen?productId=BS-AG-G09&JSESSIONID=SD8SL7FF2ADFF11710 HTTP 1.1" 200 2746 "http://www.buttercupgames.com/oldlink?itemId=EST-7" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS)" 829
- - [17/Aug/2020:18:14:14] "GET /product.screen?productId=DB-SG-G01&JSESSIONID=SD8SL7FF2ADFF11710 HTTP 1.1" 200 2465 "http://www.buttercupgames.com/product.screen?productId=DB-SG-G01" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS)" 431
- - [17/Aug/2020:18:14:16] "POST /oldlink?itemId=EST-13&JSESSIONID=SD8SL7FF2ADFF11710 HTTP 1.1" 200 2808 "http://www.buttercupgames.com/product.screen?productId=FS-SG-G03" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS)" 316
- - [17/Aug/2020:18:14:16] "GET /cart.do?action=view&itemId=EST-17&productId=WC-SH-T02&JSESSIONID=SD8SL7FF2ADFF11710 HTTP 1.1" 200 2683 "http://www.buttercupgames.com/product.screen?productId=WC-SH-T02" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS)" 370
- - [17/Aug/2020:18:14:17] "POST /oldlink?itemId=EST-26&JSESSIONID=SD8SL7FF2ADFF11710 HTTP 1.1" 200 485 "http://www.buttercupgames.com/category.screen?categoryId=SHOOTER" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS)" 319
- - [17/Aug/2020:18:14:17] "GET /oldlink?itemId=EST-16&JSESSIONID=SD8SL7FF2ADFF11710 HTTP 1.1" 200 1783 "http://www.buttercupgames.com/cart.do?action=view&itemId=EST-16&productId=DB-SG-G01" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS)" 706
- - [17/Aug/2020:23:10:27] "GET /cart.do?action=view&itemId=EST-11&productId=WC-SH-G04&JSESSIONID=SD0SL5FF4ADFF13201 HTTP 1.1" 200 527 "http://www.buttercupgames.com" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.1; .NET4.0C; .NET4.0E; MS-RTC LM 8)" 613
- - [17/Aug/2020:23:10:28] "GET /category.screen?categoryId=SHOOTER&JSESSIONID=SD0SL5FF4ADFF13201 HTTP 1.1" 200 2699 "http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-6&productId=WC-SH-G04" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.1; .NET4.0C; .NET4.0E; MS-RTC LM 8)" 200
- - [17/Aug/2020:23:10:29] "GET /product.screen?productId=WC-SH-A01&JSESSIONID=SD0SL5FF4ADFF13201 HTTP 1.1" 200 3638 "http://www.buttercupgames.com/category.screen?categoryId=ACCESSORIES" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.1; .NET4.0C; .NET4.0E; MS-RTC LM 8)" 921
- - [17/Aug/2020:23:10:31] "POST /cart.do?action=addtocart&itemId=EST-7&productId=WC-SH-A01&JSESSIONID=SD0SL5FF4ADFF13201 HTTP 1.1" 200 3738 "http://www.buttercupgames.com/product.screen?productId=WC-SH-A01" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.1; .NET4.0C; .NET4.0E; MS-RTC LM 8)" 739
- - [17/Aug/2020:23:10:32] "POST /cart.do?action=purchase&itemId=EST-7&JSESSIONID=SD0SL5FF4ADFF13201 HTTP 1.1" 200 1999 "http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-7&categoryId=ACCESSORIES&productId=WC-SH-A01" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.1; .NET4.0C; .NET4.0E; MS-RTC LM 8)" 887
- - [17/Aug/2020:23:10:32] "POST /cart/error.do?msg=CreditDoesNotMatch&JSESSIONID=SD0SL5FF4ADFF13201 HTTP 1.1" 200 2354 "http://www.buttercupgames.com/cart.do?action=purchase&itemId=EST-7" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.1; .NET4.0C; .NET4.0E; MS-RTC LM 8)" 359
