- - [18/Aug/2020:12:28:59] "GET /product.screen?productId=MB-AG-G07&JSESSIONID=SD0SL4FF5ADFF17196 HTTP 1.1" 200 3802 "http://www.buttercupgames.com" "Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3" 530
- - [18/Aug/2020:12:29:00] "POST /cart.do?action=view&itemId=EST-7&productId=MB-AG-T01&JSESSIONID=SD0SL4FF5ADFF17196 HTTP 1.1" 200 3350 "http://www.buttercupgames.com/cart.do?action=view&itemId=EST-7&productId=MB-AG-T01" "Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3" 123
- - [19/Aug/2020:02:49:49] "GET /category.screen?categoryId=TEE&JSESSIONID=SD1SL7FF5ADFF21585 HTTP 1.1" 200 2417 "http://www.buttercupgames.com" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 316
- - [19/Aug/2020:02:49:51] "POST /category.screen?categoryId=NULL&JSESSIONID=SD1SL7FF5ADFF21585 HTTP 1.1" 406 898 "http://www.buttercupgames.com/product.screen?productId=SF-BVS-G01" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 269
- - [19/Aug/2020:02:49:51] "GET /category.screen?categoryId=NULL&JSESSIONID=SD1SL7FF5ADFF21585 HTTP 1.1" 505 2300 "http://www.buttercupgames.com/product.screen?productId=SF-BVS-G01" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 528
- - [19/Aug/2020:02:49:52] "GET /product.screen?productId=SF-BVS-G01&JSESSIONID=SD1SL7FF5ADFF21585 HTTP 1.1" 406 973 "http://www.buttercupgames.com/product.screen?productId=SF-BVS-G01" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 582
- - [19/Aug/2020:02:49:53] "GET /category.screen?categoryId=ARCADE&JSESSIONID=SD1SL7FF5ADFF21585 HTTP 1.1" 200 2945 "http://www.buttercupgames.com/oldlink?itemId=EST-7" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 436
- - [19/Aug/2020:02:49:53] "GET /category.screen?categoryId=TEE&JSESSIONID=SD1SL7FF5ADFF21585 HTTP 1.1" 200 3441 "http://www.buttercupgames.com/oldlink?itemId=EST-13" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 288
- - [19/Aug/2020:02:49:54] "GET /oldlink?itemId=EST-21&JSESSIONID=SD1SL7FF5ADFF21585 HTTP 1.1" 200 2108 "http://www.buttercupgames.com/category.screen?categoryId=STRATEGY" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 625
- - [19/Aug/2020:02:49:55] "GET /cart.do?action=view&itemId=EST-15&productId=WC-SH-T02&JSESSIONID=SD1SL7FF5ADFF21585 HTTP 1.1" 200 429 "http://www.buttercupgames.com/oldlink?itemId=EST-15" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 552
- - [19/Aug/2020:02:49:56] "GET /cart.do?action=view&itemId=EST-14&productId=FS-SG-G03&JSESSIONID=SD1SL7FF5ADFF21585 HTTP 1.1" 200 2380 "http://www.buttercupgames.com/oldlink?itemId=EST-14" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 930
