- - [17/Aug/2020:13:48:08] "GET /product.screen?productId=WC-SH-G04&JSESSIONID=SD1SL1FF5ADFF10393 HTTP 1.1" 200 2315 "http://www.buttercupgames.com/category.screen?categoryId=SHOOTER" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 102
- - [17/Aug/2020:13:48:09] "POST /cart.do?action=addtocart&itemId=EST-14&productId=WC-SH-G04&JSESSIONID=SD1SL1FF5ADFF10393 HTTP 1.1" 200 3662 "http://www.buttercupgames.com/product.screen?productId=WC-SH-G04" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 119
- - [17/Aug/2020:13:48:11] "POST /cart.do?action=purchase&itemId=EST-14&JSESSIONID=SD1SL1FF5ADFF10393 HTTP 1.1" 200 798 "http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-14&categoryId=SHOOTER&productId=WC-SH-G04" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 566
- - [17/Aug/2020:13:48:11] "POST /cart/success.do?JSESSIONID=SD1SL1FF5ADFF10393 HTTP 1.1" 200 3591 "http://www.buttercupgames.com/cart.do?action=purchase&itemId=EST-14" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 187
- - [17/Aug/2020:13:48:08] "GET /cart.do?action=remove&itemId=EST-19&productId=MB-AG-T01&JSESSIONID=SD1SL1FF5ADFF10393 HTTP 1.1" 200 2086 "http://www.buttercupgames.com/product.screen?productId=MB-AG-T01" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 507
- - [17/Aug/2020:13:48:09] "GET /oldlink?itemId=EST-18&JSESSIONID=SD1SL1FF5ADFF10393 HTTP 1.1" 200 1255 "http://www.buttercupgames.com/product.screen?productId=WC-SH-G04" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 682
- - [19/Aug/2020:09:57:11] "GET /product.screen?productId=CU-PG-G06&JSESSIONID=SD5SL4FF7ADFF23590 HTTP 1.1" 200 3000 "http://www.buttercupgames.com" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2; .NET CLR 1.1.4322; InfoPath.1; MS-RTC LM 8)" 552
- - [19/Aug/2020:09:57:12] "GET /product.screen?productId=WC-SH-G04&JSESSIONID=SD5SL4FF7ADFF23590 HTTP 1.1" 200 3820 "http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-16&productId=WC-SH-G04" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2; .NET CLR 1.1.4322; InfoPath.1; MS-RTC LM 8)" 247
- - [19/Aug/2020:09:57:14] "GET /cart.do?action=remove&itemId=EST-18&JSESSIONID=SD5SL4FF7ADFF23590 HTTP 1.1" 400 3060 "http://www.buttercupgames.com/oldlink?itemId=EST-18" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2; .NET CLR 1.1.4322; InfoPath.1; MS-RTC LM 8)" 839
- - [19/Aug/2020:09:57:15] "POST /product.screen?productId=DB-SG-G01&JSESSIONID=SD5SL4FF7ADFF23590 HTTP 1.1" 200 2928 "http://www.buttercupgames.com/cart.do?action=view&itemId=EST-13&productId=DB-SG-G01" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2; .NET CLR 1.1.4322; InfoPath.1; MS-RTC LM 8)" 526
- - [19/Aug/2020:09:57:16] "POST /cart.do?action=view&itemId=EST-27&productId=FS-SG-G03&JSESSIONID=SD5SL4FF7ADFF23590 HTTP 1.1" 200 274 "http://www.buttercupgames.com/product.screen?productId=FS-SG-G03" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2; .NET CLR 1.1.4322; InfoPath.1; MS-RTC LM 8)" 650
