- - [17/Aug/2020:18:26:18] "POST /cart.do?action=view&itemId=EST-27&productId=FI-AG-G08&JSESSIONID=SD7SL6FF8ADFF11755 HTTP 1.1" 200 2048 "http://www.buttercupgames.com" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.1; .NET4.0C; .NET4.0E; MS-RTC LM 8)" 427
- - [17/Aug/2020:18:26:19] "POST /category.screen?categoryId=STRATEGY&JSESSIONID=SD7SL6FF8ADFF11755 HTTP 1.1" 200 2981 "http://www.buttercupgames.com/category.screen?categoryId=STRATEGY" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.1; .NET4.0C; .NET4.0E; MS-RTC LM 8)" 179
- - [17/Aug/2020:18:26:20] "GET /oldlink?itemId=EST-26&JSESSIONID=SD7SL6FF8ADFF11755 HTTP 1.1" 200 3349 "http://www.buttercupgames.com/cart.do?action=view&itemId=EST-26&productId=WC-SH-G04" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.1; .NET4.0C; .NET4.0E; MS-RTC LM 8)" 496
- - [17/Aug/2020:18:26:22] "GET /product.screen?productId=PZ-SG-G05&JSESSIONID=SD7SL6FF8ADFF11755 HTTP 1.1" 200 1854 "http://www.buttercupgames.com/product.screen?productId=PZ-SG-G05" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.1; .NET4.0C; .NET4.0E; MS-RTC LM 8)" 636
- - [17/Aug/2020:18:26:22] "GET /stuff/logo.ico?JSESSIONID=SD7SL6FF8ADFF11755 HTTP 1.1" 404 488 "http://www.buttercupgames.com/product.screen?productId=SF-BVS-G01" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.1; .NET4.0C; .NET4.0E; MS-RTC LM 8)" 915
- - [17/Aug/2020:18:26:23] "GET /category.screen?categoryId=STRATEGY&JSESSIONID=SD7SL6FF8ADFF11755 HTTP 1.1" 200 396 "http://www.buttercupgames.com/product.screen?productId=DB-SG-G01" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.1; .NET4.0C; .NET4.0E; MS-RTC LM 8)" 409
- - [17/Aug/2020:18:26:23] "POST /cart.do?action=addtocart&itemId=EST-21&JSESSIONID=SD7SL6FF8ADFF11755 HTTP 1.1" 408 3794 "http://www.buttercupgames.com/product.screen?productId=SF-BVS-G01" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.1; .NET4.0C; .NET4.0E; MS-RTC LM 8)" 864
- - [17/Aug/2020:18:26:24] "GET /oldlink?itemId=EST-7&JSESSIONID=SD7SL6FF8ADFF11755 HTTP 1.1" 200 3302 "http://www.buttercupgames.com/category.screen?categoryId=TEE" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.1; .NET4.0C; .NET4.0E; MS-RTC LM 8)" 606
- - [17/Aug/2020:18:26:25] "GET /cart.do?action=remove&itemId=EST-6&productId=PZ-SG-G05&JSESSIONID=SD7SL6FF8ADFF11755 HTTP 1.1" 200 2667 "http://www.buttercupgames.com/product.screen?productId=PZ-SG-G05" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.1; .NET4.0C; .NET4.0E; MS-RTC LM 8)" 610
- - [17/Aug/2020:23:40:22] "GET /category.screen?categoryId=TEE&JSESSIONID=SD5SL4FF3ADFF13360 HTTP 1.1" 200 2328 "http://www.buttercupgames.com" "Mozilla/5.0 (compatible; NetcraftSurveyAgent/1.0/cc-prepass-https; +info@netcraft.com)" 601
- - [17/Aug/2020:23:40:23] "GET /category.screen?categoryId=ARCADE&JSESSIONID=SD5SL4FF3ADFF13360 HTTP 1.1" 200 2856 "http://www.buttercupgames.com/oldlink?itemId=EST-14" "Mozilla/5.0 (compatible; NetcraftSurveyAgent/1.0/cc-prepass-https; +info@netcraft.com)" 839
- - [17/Aug/2020:23:40:23] "GET /product.screen?productId=CU-PG-G06&JSESSIONID=SD5SL4FF3ADFF13360 HTTP 1.1" 200 3039 "http://www.buttercupgames.com/category.screen?categoryId=SPORTS" "Mozilla/5.0 (compatible; NetcraftSurveyAgent/1.0/cc-prepass-https; +info@netcraft.com)" 558
